drug_concept_name,condition_concept_name,PRR,mean_reporting_frequency,drug_concept_name_tokens,condition_concept_name_tokens
ergoloid mesylates usp,anaemia,2.85714,0.0454545,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 9617, 17577, 102]"
ergoloid mesylates usp,aplasia pure red cell,10.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 9706, 8523, 2401, 5760, 2417, 3526, 102]"
ergoloid mesylates usp,disseminated intravascular coagulation,1.66667,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 4487, 11393, 26972, 26721, 12044, 15431, 28155, 24848, 3370, 102]"
ergoloid mesylates usp,jaundice,2.85714,0.0151515,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 14855, 8630, 6610, 102]"
ergoloid mesylates usp,febrile neutropenia,2.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 13114, 15928, 2063, 11265, 4904, 18981, 19825, 102]"
ergoloid mesylates usp,arrhythmia,0.526316,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 12098, 25032, 22123, 26837, 2050, 102]"
ergoloid mesylates usp,bradycardia,1.81818,0.0151515,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 10184, 11522, 2401, 102]"
ergoloid mesylates usp,tachycardia,6.0,0.0227273,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 11937, 11714, 11522, 2401, 102]"
ergoloid mesylates usp,atrial fibrillation,0.526316,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 2012, 14482, 10882, 23736, 20382, 102]"
ergoloid mesylates usp,cardiac arrest,3.15789,0.0454545,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 15050, 6545, 102]"
ergoloid mesylates usp,cardiorespiratory arrest,3.33333,0.0378788,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 4003, 25346, 2229, 8197, 16259, 2100, 6545, 102]"
ergoloid mesylates usp,sudden death,10.0,0.0454545,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 5573, 2331, 102]"
ergoloid mesylates usp,ventricular fibrillation,5.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 18834, 7277, 7934, 10882, 23736, 20382, 102]"
ergoloid mesylates usp,dizziness,3.48485,0.174242,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 4487, 29212, 102]"
ergoloid mesylates usp,dizziness postural,5.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 4487, 29212, 2695, 11137, 102]"
ergoloid mesylates usp,presyncope,2.5,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 3653, 6508, 15305, 5051, 102]"
ergoloid mesylates usp,syncope,3.15789,0.0454545,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 26351, 17635, 102]"
ergoloid mesylates usp,dyspnoea,3.07692,0.0909091,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 1040, 7274, 2361, 3630, 5243, 102]"
ergoloid mesylates usp,dyspnoea at rest,10.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 1040, 7274, 2361, 3630, 5243, 2012, 2717, 102]"
ergoloid mesylates usp,dyspnoea exertional,10.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 1040, 7274, 2361, 3630, 5243, 4654, 8743, 19301, 102]"
ergoloid mesylates usp,mitral valve incompetence,3.33333,0.0151515,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 10210, 7941, 10764, 4297, 25377, 12870, 5897, 102]"
ergoloid mesylates usp,coronary artery disease,1.66667,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 21887, 2854, 16749, 4295, 102]"
ergoloid mesylates usp,acute myocardial infarction,10.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 11325, 2026, 24755, 25070, 1999, 14971, 7542, 102]"
ergoloid mesylates usp,angina pectoris,2.5,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 17076, 3981, 21877, 16761, 2483, 102]"
ergoloid mesylates usp,angina unstable,1.66667,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 17076, 3981, 14480, 102]"
ergoloid mesylates usp,chest pain,0.357143,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 3108, 3255, 102]"
ergoloid mesylates usp,myocardial infarction,1.42857,0.030303,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 2026, 24755, 25070, 1999, 14971, 7542, 102]"
ergoloid mesylates usp,oedema peripheral,1.33333,0.030303,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 1051, 14728, 2863, 15965, 102]"
ergoloid mesylates usp,cardiac failure,2.08333,0.0378788,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 15050, 4945, 102]"
ergoloid mesylates usp,cardiomyopathy,5.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 4003, 18994, 7677, 20166, 102]"
ergoloid mesylates usp,deafness,3.33333,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 12419, 2791, 102]"
ergoloid mesylates usp,hearing impaired,10.0,0.0151515,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 4994, 18234, 102]"
ergoloid mesylates usp,tinnitus,3.33333,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 9543, 3490, 5809, 102]"
ergoloid mesylates usp,vertigo,2.22222,0.0151515,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 28246, 102]"
ergoloid mesylates usp,diabetes mellitus,5.0,0.0454545,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 14671, 11463, 15909, 2271, 102]"
ergoloid mesylates usp,hypoglycaemia,4.28571,0.0227273,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 1044, 22571, 8649, 2135, 3540, 17577, 102]"
ergoloid mesylates usp,diabetes mellitus noninsulindependent,10.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 14671, 11463, 15909, 2271, 2512, 7076, 18639, 3207, 11837, 16454, 102]"
ergoloid mesylates usp,eye disorder,13.3333,0.030303,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 3239, 8761, 102]"
ergoloid mesylates usp,glaucoma,6.66667,0.0151515,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 1043, 17298, 9006, 2050, 102]"
ergoloid mesylates usp,eye irritation,10.0,0.0151515,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 3239, 17373, 102]"
ergoloid mesylates usp,eye movement disorder,6.66667,0.0151515,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 3239, 2929, 8761, 102]"
